data,open,high,low,close,volume ,changepercent
2015/1/2,17823.07 ,17951.78 ,17731.30 ,17832.99 ,0,0.06%
2015/1/5,17821.30 ,17821.30 ,17475.93 ,17501.65 ,0,-1.86%
2015/1/6,17504.18 ,17581.05 ,17262.37 ,17371.64 ,0,-0.74%
2015/1/7,17374.78 ,17597.08 ,17374.78 ,17584.52 ,0,1.23%
2015/1/8,17591.97 ,17916.04 ,17591.97 ,17907.87 ,0,1.84%
2015/1/9,17911.02 ,17915.32 ,17686.09 ,17737.37 ,0,-0.95%
2015/1/12,17742.05 ,17793.88 ,17571.58 ,17640.84 ,0,-0.54%
2015/1/13,17645.02 ,17923.01 ,17498.23 ,17613.68 ,0,-0.15%
2015/1/14,17609.06 ,17609.06 ,17264.90 ,17427.09 ,0,-1.06%
2015/1/15,17436.30 ,17517.41 ,17298.04 ,17320.71 ,0,-0.61%
2015/1/16,17320.00 ,17528.37 ,17243.55 ,17511.57 ,0,1.10%
2015/1/20,17516.96 ,17588.70 ,17346.73 ,17515.23 ,0,0.02%
2015/1/21,17509.96 ,17599.58 ,17396.04 ,17554.28 ,0,0.22%
2015/1/22,17557.29 ,17840.89 ,17482.54 ,17813.98 ,0,1.48%
2015/1/23,17812.50 ,17812.50 ,17667.53 ,17672.60 ,0,-0.79%
2015/1/26,17668.11 ,17696.36 ,17567.60 ,17678.70 ,0,0.03%
2015/1/27,17638.53 ,17638.53 ,17288.31 ,17387.21 ,0,-1.65%
2015/1/28,17402.91 ,17484.41 ,17189.00 ,17191.37 ,0,-1.13%
2015/1/29,17195.29 ,17433.13 ,17136.30 ,17416.85 ,0,1.31%
2015/1/30,17416.85 ,17419.90 ,17156.82 ,17164.95 ,0,-1.45%
2015/2/2,17169.99 ,17367.68 ,17037.76 ,17361.04 ,0,1.14%
2015/2/3,17369.97 ,17670.76 ,17369.97 ,17666.40 ,0,1.76%
2015/2/4,17664.99 ,17782.22 ,17603.21 ,17673.02 ,0,0.04%
2015/2/5,17677.26 ,17889.58 ,17677.26 ,17884.88 ,0,1.20%
2015/2/6,17881.54 ,17951.09 ,17764.40 ,17824.29 ,0,-0.34%
2015/2/9,17821.49 ,17821.49 ,17685.32 ,17729.21 ,0,-0.53%
2015/2/10,17736.15 ,17890.34 ,17729.24 ,17868.76 ,0,0.79%
2015/2/11,17867.86 ,17897.21 ,17759.65 ,17862.14 ,0,-0.04%
2015/2/12,17862.14 ,17975.65 ,17862.14 ,17972.38 ,0,0.62%
2015/2/13,17968.65 ,18037.41 ,17961.76 ,18019.35 ,0,0.26%
2015/2/17,18019.80 ,18052.01 ,17951.41 ,18047.58 ,0,0.16%
2015/2/18,18045.72 ,18048.70 ,17982.20 ,18029.85 ,0,-0.10%
2015/2/19,18028.67 ,18028.67 ,17924.60 ,17985.77 ,0,-0.24%
2015/2/20,17985.77 ,18144.29 ,17878.37 ,18140.44 ,0,0.86%
2015/2/23,18140.76 ,18141.21 ,18054.84 ,18116.84 ,0,-0.13%
2015/2/24,18112.57 ,18231.09 ,18098.73 ,18209.19 ,0,0.51%
2015/2/25,18208.67 ,18244.38 ,18182.76 ,18224.57 ,0,0.08%
2015/2/26,18224.41 ,18239.43 ,18157.07 ,18214.42 ,0,-0.06%
2015/2/27,18213.26 ,18213.26 ,18132.38 ,18132.70 ,0,-0.45%
2015/3/2,18134.05 ,18288.63 ,18122.59 ,18288.63 ,0,0.86%
2015/3/3,18281.95 ,18281.95 ,18136.88 ,18203.37 ,0,-0.47%
2015/3/4,18203.37 ,18203.37 ,18029.50 ,18096.90 ,0,-0.58%
2015/3/5,18096.90 ,18160.35 ,18087.65 ,18135.72 ,0,0.21%
2015/3/6,18135.72 ,18135.72 ,17825.15 ,17856.78 ,0,-1.54%
2015/3/9,17856.56 ,18031.04 ,17856.56 ,17995.72 ,0,0.78%
2015/3/10,17989.56 ,17989.56 ,17662.94 ,17662.94 ,0,-1.85%
2015/3/11,17662.94 ,17731.78 ,17627.00 ,17635.39 ,0,-0.16%
2015/3/12,17626.84 ,17900.10 ,17620.49 ,17895.22 ,0,1.47%
2015/3/13,17889.05 ,17889.05 ,17629.89 ,17749.31 ,0,-0.82%
2015/3/16,17751.24 ,17988.50 ,17751.24 ,17977.42 ,0,1.29%
2015/3/17,17972.22 ,17972.22 ,17785.79 ,17849.08 ,0,-0.71%
2015/3/18,17846.80 ,18097.12 ,17697.52 ,18076.19 ,0,1.27%
2015/3/19,18072.58 ,18072.99 ,17934.24 ,17959.03 ,0,-0.65%
2015/3/20,17961.13 ,18197.29 ,17961.13 ,18127.65 ,0,0.94%
2015/3/23,18136.73 ,18205.93 ,18116.04 ,18116.04 ,0,-0.06%
2015/3/24,18110.87 ,18149.24 ,18010.44 ,18011.14 ,0,-0.58%
2015/3/25,18012.61 ,18041.97 ,17718.54 ,17718.54 ,0,-1.62%
2015/3/26,17716.27 ,17759.51 ,17579.27 ,17678.23 ,0,-0.23%
2015/3/27,17673.63 ,17729.14 ,17630.49 ,17712.66 ,0,0.19%
2015/3/30,17727.48 ,18008.64 ,17727.48 ,17976.31 ,0,1.49%
2015/3/31,17965.37 ,17965.37 ,17773.02 ,17776.12 ,0,-1.11%
2015/4/1,17778.52 ,17778.52 ,17585.01 ,17698.18 ,0,-0.44%
2015/4/2,17699.52 ,17815.03 ,17673.49 ,17763.24 ,0,0.37%
2015/4/6,17755.50 ,17941.79 ,17646.80 ,17880.85 ,0,0.66%
2015/4/7,17884.32 ,17983.12 ,17871.21 ,17875.42 ,0,-0.03%
2015/4/8,17877.62 ,17976.20 ,17822.23 ,17902.51 ,0,0.15%
2015/4/9,17897.70 ,17984.22 ,17823.10 ,17958.73 ,0,0.31%
2015/4/10,17956.73 ,18066.76 ,17945.55 ,18057.65 ,0,0.55%
2015/4/13,18052.32 ,18107.57 ,17974.81 ,17977.04 ,0,-0.45%
2015/4/14,17979.11 ,18075.60 ,17905.48 ,18036.70 ,0,0.33%
2015/4/15,18045.71 ,18160.52 ,18045.71 ,18112.61 ,0,0.42%
2015/4/16,18106.27 ,18169.26 ,18063.86 ,18105.77 ,0,-0.04%
2015/4/17,18102.56 ,18102.56 ,17748.53 ,17826.30 ,0,-1.54%
2015/4/20,17841.18 ,18092.22 ,17841.18 ,18034.93 ,0,1.17%
2015/4/21,18034.23 ,18109.70 ,17929.63 ,17949.59 ,0,-0.47%
2015/4/22,17950.82 ,18056.02 ,17887.76 ,18038.27 ,0,0.49%
2015/4/23,18031.90 ,18133.03 ,17966.77 ,18058.69 ,0,0.11%
2015/4/24,18056.42 ,18108.87 ,18009.08 ,18080.14 ,0,0.12%
2015/4/27,18097.89 ,18175.56 ,18024.66 ,18037.97 ,0,-0.23%
2015/4/28,18035.90 ,18119.65 ,17917.36 ,18110.14 ,0,0.40%
2015/4/29,18093.69 ,18096.46 ,17953.69 ,18035.53 ,0,-0.41%
2015/4/30,18033.33 ,18033.33 ,17774.89 ,17840.52 ,0,-1.08%
2015/5/1,17859.27 ,18028.89 ,17859.27 ,18024.06 ,0,1.03%
2015/5/4,18026.02 ,18133.76 ,18026.02 ,18070.40 ,0,0.26%
2015/5/5,18062.53 ,18086.01 ,17905.71 ,17928.20 ,0,-0.79%
2015/5/6,17934.81 ,18019.75 ,17733.12 ,17841.98 ,0,-0.48%
2015/5/7,17840.25 ,17973.07 ,17796.94 ,17924.06 ,0,0.46%
2015/5/8,17933.64 ,18205.23 ,17933.64 ,18191.11 ,0,1.49%
2015/5/11,18187.78 ,18199.95 ,18089.11 ,18105.17 ,0,-0.47%
2015/5/12,18096.16 ,18119.18 ,17924.80 ,18068.23 ,0,-0.20%
2015/5/13,18070.37 ,18132.79 ,18039.20 ,18060.49 ,0,-0.04%
2015/5/14,18062.49 ,18255.21 ,18062.49 ,18252.24 ,0,1.06%
2015/5/15,18251.97 ,18272.72 ,18215.07 ,18272.56 ,0,0.11%
2015/5/18,18267.25 ,18325.54 ,18244.26 ,18298.88 ,0,0.14%
2015/5/19,18300.48 ,18351.36 ,18261.35 ,18312.39 ,0,0.07%
2015/5/20,18315.06 ,18350.13 ,18272.56 ,18285.40 ,0,-0.15%
2015/5/21,18285.87 ,18314.89 ,18249.90 ,18285.74 ,0,0.00%
2015/5/22,18286.87 ,18286.87 ,18217.14 ,18232.02 ,0,-0.29%
2015/5/26,18229.75 ,18229.75 ,17990.02 ,18041.54 ,0,-1.04%
2015/5/27,18045.08 ,18190.35 ,18045.08 ,18162.99 ,0,0.67%
2015/5/28,18154.14 ,18154.14 ,18066.40 ,18126.12 ,0,-0.20%
2015/5/29,18128.12 ,18128.12 ,17967.74 ,18010.68 ,0,-0.64%
2015/6/1,18017.82 ,18105.83 ,17982.06 ,18040.37 ,0,0.16%
2015/6/2,18033.33 ,18091.87 ,17925.33 ,18011.94 ,0,-0.16%
2015/6/3,18018.42 ,18168.09 ,18010.42 ,18076.27 ,0,0.36%
2015/6/4,18072.47 ,18087.15 ,17876.95 ,17905.58 ,0,-0.94%
